order,species,body,brain,temp,source,altname
artiodactyl,Babyrousa babyrussa,100000,132.7,31,Bouchot,
artiodactyl,Hylochoerus meinertshageni,270000,151,33,Bouchot,
artiodactyl,Phacochoerus aethiopicus,140000,157.8,36,Bouchot,
artiodactyl,Potamochoerus porcus,130000,155.6,33,Bouchot,
artiodactyl,Sus scrofa,281000,202.3,31,Bouchot,
artiodactyl,Hyemoschus aquaticus,15000,32.1,32,Bouchot,
artiodactyl,Tragulus javanicus,2600,15,32,Bouchot,
artiodactyl,Tragulus meminna,5000,21,39,Bouchot,
artiodactyl,Tragulus napu,6000,21.1,33,Bouchot,
artiodactyl,Antilocapra americana,70000,161.6,32,Bouchot,
artiodactyl,Choeropsis liberiensis,200000,251.2,34,Bouchot,
artiodactyl,Hippopotamus amphibius,3000000,738,34,Bouchot,
artiodactyl,Tayassu pecari,40000,123.4,35,Bouchot,
artiodactyl,Tayassu tajacu,30000,105.2,34,Bouchot,
artiodactyl,Capra hircus,113000,181.5,,Bouchot,
artiodactyl,Ovis ammon,100000,144.2,19,Bouchot,
artiodactyl,Ovis musimon,60000,140.3,18,Bouchot,
artiodactyl,Rupicapra rupicapra,50000,131.5,16,Bouchot,
artiodactyl,Saiga tatarica,70000,119,29,Bouchot,
artiodactyl,Oreotragus oreotragus,18000,67.6,28,Bouchot,
artiodactyl,Antidorcas marsupialis,43000,141.6,30,Bouchot,
artiodactyl,Antilope cervicapra,38000,121.8,40,Bouchot,
artiodactyl,Gazella dama,72000,159.2,41,Bouchot,
artiodactyl,Gazella dorcas dorcas,23000,76.7,41,Bouchot,
artiodactyl,Gazella dorcas isabellia,23000,92.9,,Bouchot,
artiodactyl,Gazella granti,60000,169.8,35,Bouchot,
artiodactyl,Gazella rufifrons,30000,100.6,41,Bouchot,
artiodactyl,Gazella thompsoni,29000,96.3,27,Bouchot,
artiodactyl,Litocranius walleri,55000,139.5,33,Bouchot,
artiodactyl,Neotragus moschatus,6000,37.1,31,Bouchot,
artiodactyl,Raphicerus campestris,14000,57.3,30,Bouchot,
artiodactyl,Raphicerus melanotis,12000,57.4,25,Bouchot,
artiodactyl,Madoqua kirki,5000,35.4,31,Bouchot,
artiodactyl,Madoqua saltiana,5000,28.4,36,Bouchot,
artiodactyl,Kobus ellipsiprymnus,270000,323,37,Bouchot,
artiodactyl,Kobus ellipsiprymnus defassa,270000,326.5,41,Bouchot,
artiodactyl,Kobus ellipsiprymnus penricei,270000,332.7,,Bouchot,
artiodactyl,Kobus kob,117500,206.5,41,Bouchot,
artiodactyl,Kobus leche,123000,223.5,40,Bouchot,
artiodactyl,Ourebia ourebi,21000,64.3,36,Bouchot,
artiodactyl,Pelea capreolus,24000,114,30,Bouchot,
artiodactyl,Redunca arundinum,90000,160.3,31,Bouchot,
artiodactyl,Redunca fulvorufula,35000,127,26,Bouchot,
artiodactyl,Redunca redunca,50000,126.5,36,Bouchot,
artiodactyl,Addax nasomaculatus,125000,206.4,41,Bouchot,
artiodactyl,Hippotragus quinus,270000,377.6,37,Bouchot,
artiodactyl,Hippotragus niger,280000,338,31,Bouchot,
artiodactyl,Oryx dammah,200000,274,39,Bouchot,
artiodactyl,Oryx gazella beisa,240000,338.8,33,Bouchot,
artiodactyl,Oryx gazella callotis,240000,319.5,28,Bouchot,
artiodactyl,Oryx gazella gazella,240000,339.6,31,Bouchot,
artiodactyl,Aepyceros melampus,82000,198.3,34,Bouchot,
artiodactyl,Boselaphus tragocamelus,200000,306,41,Bouchot,
artiodactyl,Sigmoceros lichtensteinii,200000,359.7,,Bouchot,
artiodactyl,Tragelaphus angasii,137000,234.4,33,Bouchot,
artiodactyl,Tragelaphus buxtoni,280000,335,23,Bouchot,
artiodactyl,Tragelaphus derbianus,900000,542,38,Bouchot,
artiodactyl,Tragelaphus euryceros,292000,402.7,36,Bouchot,
artiodactyl,Tragelaphus imberbis,145000,224.9,37,Bouchot,
artiodactyl,Tragelaphus oryx,750000,549.5,36,Bouchot,
artiodactyl,Tragelaphus scriptus,80000,195,36,Bouchot,
artiodactyl,Tragelaphus spekei,125000,220.3,34,Bouchot,
artiodactyl,Tragelaphus strepsiceros,320000,387.4,35,Bouchot,
artiodactyl,Alcelaphus buselaphus caama,180000,307,32,Bouchot,
artiodactyl,Alcelaphus buselaphus cokei,180000,304,34,Bouchot,
artiodactyl,Alcelaphus buselaphus jacksoni,180000,324.3,,Bouchot,
artiodactyl,Alcelaphus buselaphus modestus,180000,314,,Bouchot,
artiodactyl,Connochaetes gnou,225000,360.6,31,Bouchot,
artiodactyl,Connochaetes taurinus,275000,431.5,30,Bouchot,
artiodactyl,Damaliscus dorcas,130000,274.8,28,Bouchot,
artiodactyl,Damaliscus lunatus jimela,142000,273,35,Bouchot,
artiodactyl,Damaliscus lunatus korrigum,150000,263,40,Bouchot,
artiodactyl,Damaliscus lunatus lunatus,160000,284.8,32,Bouchot,
artiodactyl,Bison bison,1500000,760,35,Bouchot,
artiodactyl,Syncerus caffer,820000,651.6,38,Bouchot,
artiodactyl,Syncerus caffer nanus,600000,467.7,39,Bouchot,
carnivora,Canis lupus,33110,131.63,38,Gittleman,
carnivora,Canis latrans,10490,88.23,33,Gittleman,
carnivora,Canis aureus,8760,72.24,36,Gittleman,
carnivora,Canis adustus,11250,51.94,29,Gittleman,
carnivora,Canis mesomelas,7690,56.83,33,Gittleman,
carnivora,Lycaon pictus,21980,129.02,36,Gittleman,
carnivora,Cuon alpinus,17640,94.63,33,Gittleman,
carnivora,Alopex lagopus,3190,35.52,22,Gittleman,
carnivora,Vulpes bengalensis,2270,25.79,36,Gittleman,
carnivora,Vulpes rueppellii,3600,24.29,41,Gittleman,
carnivora,Vulpes pallida,3600,25.03,41,Gittleman,
carnivora,Vulpes chama,3100,33.45,30,Gittleman,
carnivora,Vulpes velox,2200,32.14,35,Gittleman,
carnivora,Vulpes vulpes,4140,43.38,38,Gittleman,
carnivora,Fennecus zerda,1510,17.29,41,Gittleman,
carnivora,Nyctereutes procyonoides,7460,28.5,30,Gittleman,
carnivora,Otocyon megalotis,3940,26.84,40,Gittleman,
carnivora,Urocyon cinereoargenteus,3630,40.85,32,Gittleman,
carnivora,Urocyon littoralis,2050,27.66,25,Gittleman,
carnivora,Atelocynus microtis,9030,62.18,33,Gittleman,
carnivora,Chrysocyon brachyurus,23100,120.3,34,Gittleman,
carnivora,Speothos venaticus,5990,40.45,32,Gittleman,
carnivora,Ursus arctos,298870,336.97,25,Gittleman,
carnivora,Ursus americanus,109950,359.82,36,Gittleman,
carnivora,Ursus maritimus,365040,459.44,20,Gittleman,
carnivora,Ursus thibetanus,100480,314.19,35,Gittleman,
carnivora,Helarctos malayanus,79840,354.25,32,Gittleman,
carnivora,Melursus ursinus,101490,304.9,33,Gittleman,
carnivora,Bassariscus astutus,840,16.44,34,Gittleman,
carnivora,Jentinkia sumichrasti,900,19.3,28,Gittleman,
carnivora,Potos flavus,2050,25.53,32,Gittleman,
carnivora,Nasua nasua,5000,29.96,33,Gittleman,
carnivora,Procyon lotor,6170,40.04,32,Gittleman,
carnivora,Ailurus fulgens,3740,40.85,16,Gittleman,
carnivora,Ailuropoda melanoleuca,117920,235.1,26,Gittleman,
carnivora,Mustela erminea,90,4.01,26,Gittleman,
carnivora,Mustela nivalis,100,1.99,33,Gittleman,
carnivora,Mustela frenata,230,4.01,23,Gittleman,
carnivora,Mustela altaica,190,4.48,11,Gittleman,
carnivora,Mustela sibirica,570,6.75,32,Gittleman,
carnivora,Mustela lutreola,590,8.5,25,Gittleman,
carnivora,Mustela vison,910,8.5,32,Gittleman,
carnivora,Mustela putorius,1030,8.25,30,Gittleman,
carnivora,Mustela nigripes,580,8.5,30,Gittleman,
carnivora,Vormela peregusna,590,4.76,41,Gittleman,
carnivora,Martes foina,1800,20.91,36,Gittleman,
carnivora,Martes americana,860,15.8,30,Gittleman,
carnivora,Martes pennanti,3460,31.82,28,Gittleman,
carnivora,Martes zibellina,1170,18.54,22,Gittleman,
carnivora,Martes flavigula,2510,34.12,32,Gittleman,
carnivora,Gulo gulo,11130,78.26,31,Gittleman,
carnivora,Tayra barbara,4390,35.87,32,Gittleman,
carnivora,Galictis vittata,2440,24.29,32,Gittleman,
carnivora,Galictis cuja,1000,15.03,33,Gittleman,
carnivora,Ictonyx striatus,750,9.78,41,Gittleman,
carnivora,Poecilogale albinucha,290,4.76,32,Gittleman,
carnivora,Mellivora capensis,8080,72.97,31,Gittleman,
carnivora,Meles meles,12940,50.4,31,Gittleman,
carnivora,Arctonyx collaris,10490,49.4,31,Gittleman,
carnivora,Mydaus javanensis,2510,19.49,32,Gittleman,
carnivora,Taxidea taxus,4060,48.91,30,Gittleman,
carnivora,Melogale personata,4060,48.91,40,Gittleman,
carnivora,Mephitis mephitis,2360,10.28,42,Gittleman,
carnivora,Spilogale putorius,540,5,35,Gittleman,
carnivora,Conepatus leuconotus,3390,14.44,33,Gittleman,
carnivora,Lutra lutra,8670,42.1,32,Gittleman,
carnivora,Lutra felina,4100,38.86,26,Gittleman,
carnivora,Lutra maculicollis,4010,40.04,33,Gittleman,
carnivora,Lutrogale perspicillata,8670,64.72,32,Gittleman,
carnivora,Aonyx cinerea,4060,38.09,31,Gittleman,
carnivora,Aonyx capensis,19110,94.63,36,Gittleman,
carnivora,Pteronera brasiliensis,27390,85.63,33,Gittleman,
carnivora,Enhydra lutris,27940,125.21,27,Gittleman,
carnivora,Viverra zibetha,9030,36.97,32,Gittleman,
carnivora,Viverra megaspila,8500,36.6,32,Gittleman,
carnivora,Viverra tangalunga,4710,24.05,32,Gittleman,
carnivora,Civettictis civetta,12060,36.97,36,Gittleman,
carnivora,Viverricula indica,2660,16.78,31,Gittleman,
carnivora,Genetta genetta,1900,14.01,40,Gittleman,
carnivora,Genetta tigrina,2050,15.18,27,Gittleman,
carnivora,Genetta servalina,1250,15.03,32,Gittleman,
carnivora,Genetta angolensis,2100,15.49,31,Gittleman,
carnivora,Prionodon linsang,670,8.5,32,Gittleman,
carnivora,Prionodon pardicolor,450,9.03,34,Gittleman,
carnivora,Nandinia binotata,3190,17.29,32,Gittleman,
carnivora,Arctogalidia trivirgata,2460,21.98,32,Gittleman,
carnivora,Paradoxurus zeylonensis,2720,17.81,32,Gittleman,
carnivora,Paguma larvata,4310,30.88,32,Gittleman,
carnivora,Arctictis binturong,11470,40.85,32,Gittleman,
carnivora,Hemigalus derbyanus,830,18.92,32,Gittleman,
carnivora,Cynogale bennettii,4010,29.96,32,Gittleman,
carnivora,Eupleres goudotii,2100,16.95,30,Gittleman,
carnivora,Galidia elegans,810,10.7,30,Gittleman,
carnivora,Salanoia unicolor,780,11.02,29,Gittleman,
carnivora,Herpestes ichneumon,3030,23.34,33,Gittleman,
carnivora,Herpestes naso,3000,25.53,31,Gittleman,
carnivora,Herpestes pulverulentus,840,11.02,28,Gittleman,
carnivora,Herpestes sanguineus,490,8.76,37,Gittleman,
carnivora,Herpestes edwardsii,1260,10.49,40,Gittleman,
carnivora,Herpestes smithii,1750,13.74,39,Gittleman,
carnivora,Herpestes fuscus,1120,12.55,33,Gittleman,
carnivora,Herpestes vitticollis,2290,25.79,33,Gittleman,
carnivora,Herpestes urva,2360,20.91,36,Gittleman,
carnivora,Mungos mungo,1260,10.49,40,Gittleman,
carnivora,Crossarchus obscurus,1310,9.78,37,Gittleman,
carnivora,Helogale parvula,270,4.76,38,Gittleman,
carnivora,Bdeogale crassicauda,1250,16.95,35,Gittleman,
carnivora,Rhynchogale melleri,2720,16.95,35,Gittleman,
carnivora,Ichneumia albicauda,3860,24.29,40,Gittleman,
carnivora,Atilax paludinosus,3670,28.5,35,Gittleman,
carnivora,Cynictis penicillata,590,10.49,35,Gittleman,
carnivora,Paracynictus selousi,1700,15.8,31,Gittleman,
